Sentence	True	Predicted
anyone	O	O

believe	O	O

that	O	O

meditation	O	O

taught	O	O

by	O	O

@Gurmeetramrahim	O	O

can	O	O

bring	O	O

gold	O	O

at	O	O

international	O	O

level	O	O

..	O	O

#OurIns	O	O

		

@hitennarendra	O	O

ye	O	O

dhaniya	O	O

wali	O	O

baat	O	O

dil	O	O

ko	O	O

choo	O	O

gayi	O	O

:)	O	O

		

RT	O	O

@DesiObsession_	O	O

:	O	O

""""	O	O

Aayat	O	O

""""	O	O

-	O	O

Bajirao	O	B-PERSON

Mastani	O	I-PERSON

(	O	O

2015	O	O

)	O	O

https://t.co/qvwAdOXx6v	O	O

		

Om	O	O

namoh	O	O

shiva	B-PERSON	O

,	O	O

Babaji	O	O

sab	O	O

Ke	O	O

sath	O	O

mere	O	O

sath	O	O

thoda	O	O

zayada	O	O

:-)	O	O

wishing	O	O

all	O	O

BAM	O	O

BHOLE	B-PERSON	O

NATH	I-PERSON	O

:-)	O	O

mahashivratri	O	O

ke	O	O

badhaiya	O	O

:-)	O	O

sab	O	O

ko	O	O

khushi	O	O

:-)	O	O

		

RT	O	O

@sagarcasm	O	O

:	O	O

Sridevi	B-PERSON	O

-	O	O

Mere	O	B-PERSON

Haathon	O	I-PERSON

mein	O	O

nau	O	O

nau	O	O

Chudiya	O	O

hai	O	O

Virat	B-PERSON	B-PERSON

Kohli	I-PERSON	I-PERSON

-	O	O

Meri	O	O

team	O	O

mein	O	O

nau	O	O

nau	O	O

chutiya	O	O

hai	O	O

		

Jai	O	O

Bhola	B-PERSON	O

Nath	I-PERSON	O

:D	O	O

Happy	O	O

Mahashivratri	O	O

Har	O	O

Har	O	O

Mahadev	B-PERSON	O

:D	O	O

Shivling	O	O

Maid	O	O

By	O	O

Us	O	O

:D	O	O

:D	O	O

Shivala	B-PLACE	O

Bagh	I-PLACE	O

Bhayian	I-PLACE	O

,	O	O

Amritsar	B-PLACE	O

		

Bihar	B-PLACE	O

Government	O	O

Performing	O	O

Better	O	O

Than	O	O

Modi's:	B-PERSON	O

Tejashwi	B-PERSON	O

https://t.co/sMUG3Lfz76	O	O

https://t.co/TcfmohLhPC	O	O

		

@Gurmeetramrahim	O	O

ohh	O	O

aj	O	O

to	O	O

blood	O	O

,	O	O

sfai	O	O

abhiyan	O	O

,	O	O

plantsion	O	O

briliint	O	O

work	O	O

papa	O	O

ji	O	O

#MSGmissionHumanity	O	O

		

@SrBachchan	O	O

Good	O	O

morning	O	O

dear	O	O

amit	B-PERSON	O

ji	O	O

.	O	O

Pranam	O	O

Happy	O	O

Tuesday	O	O

.	O	O

N	O	O

#MahaShivratri	O	O

ki	O	O

mangalkamnayen	O	O

.	O	O

Sada	O	O

khush	O	O

rahiye	O	O

.	O	O

http://t.co/NA79ghBMFx	O	O

		

MahaShivRatri	O	O

Ki	O	O

sabko	O	O

badhai	O	O

..!	O	O

Happy	O	O

MahaShivratri	O	O

eveyone	O	O

..!	O	O

Om	O	O

Namah	O	O

Shivaye	B-PERSON	O

..!!	O	O

		

Abe	O	O

7	O	O

footiya	O	O

-	O	O

daud	O	O

ke	O	O

hi	O	O

aa	O	O

jaata	O	O

to	O	O

ball	O	O

jaldi	O	O

pahuchti	O	O

!!!	O	O

Lol	O	O

(	O	O

not	O	O

that	O	O

I	O	O

mind	O	O

!	O	O

)	O	O

#IndvsPak	O	O

		

RT	O	O

@TamalDas8	O	O

:	O	O

@PIB_India	O	O

#UHF	O	O

RT	O	O

@RailMinIndia	O	O

:	O	O

Full	O	O

fledged	O	O

university	O	O

during	O	O

2015-15	O	O

#RailBudget2015	O	O

Catch	O	O

it	O	O

live	O	O

https://t.co/f2mWm4UOaw	O	O

		

RT	O	O

@htTweets	O	O

:	O	O

IPS	B-ORGANISATION	O

officer	O	O

Archana	B-PERSON	B-PERSON

Ramasundram	I-PERSON	I-PERSON

appointed	O	O

SSB	B-ORGANISATION	O

chief	O	O

(	O	O

via	O	O

@aloketikku	O	O

)	O	O

https://t.co/xraT8coe3G	O	O

https://t.co/YWGnox2Jsx	O	O

		

RT	O	O

@SrBachchan	O	O

:	O	O

@MuVyz	O	O

@SaurabhTurakhia	O	O

@Thekkapoor	O	O

@AyushMehta3	O	O

@NadkarAmit	O	O

@EFSENAROCKS	O	O

chalo	O	O

correction	O	O

kar	O	O

lo	O	O

		

#WhereIsRahul	O	O

?	O	O

#RahulOnLeave	O	O

and	O	O

#AnnaReturns	O	O

!	O	O

Gangadhar	B-PERSON	O

hi	O	O

Saktiman	B-PERSON	O

hai	O	O

...	O	O

Oops	O	O

RahulG	B-PERSON	O

hi	O	O

Anna	B-PERSON	O

hai	O	O

kya	O	O

?	O	O

		

Fitoor	O	O

Official	O	O

Trailer	O	O

-	O	O

Aditya	B-PERSON	O

Roy	I-PERSON	O

Kapur	I-PERSON	O

-	O	O

Katrina	B-PERSON	B-PERSON

Kaif	I-PERSON	I-PERSON

-	O	O

Tabu	B-PERSON	O

https://t.co/IEUVdGFvYN	O	O

		

FANS	O	O

Shahrukh	B-PERSON	O

Khan	I-PERSON	O

?	O	O

See	O	O

the	O	O

video	O	O

at	O	O

:	O	O

https://t.co/ndy7q9Hzgf	O	O

#shahrukhkhan	O	O

#fan	O	O

		

@Gurmeetramrahim	O	O

Dhan	B-PERSON	O

Dhan	I-PERSON	O

Satguru	I-PERSON	O

Tera	O	O

Hi	O	O

Aasra	O	O

#MSGlovesHumanity	O	O

Salute	O	O

2	O	O

MSG	B-ORGANISATION	O

https://t.co/D07r9bFW5r	O	O

		

Delhi	B-PLACE	O

court	O	O

summons	O	O

Arvind	B-PERSON	O

Kejriwal	I-PERSON	O

for	O	O

'	O	O

Thulla	O	O

'	O	O

remark	O	O

against	O	O

Delhi	B-ORGANISATION	O

Police	I-ORGANISATION	O

https://t.co/cgfRjoYZbj	O	O

https://t.co/TVPKid4Z0h	O	O

ILU	O	O

pa	O	O

		

#virat	O	O

kholi	B-PERSON	O

..	O	O

please	O	O

announce	O	O

your	O	O

retirement	O	O

..	O	O

please	O	O

..	O	O

enjoy	O	O

with	O	O

anuskha	B-PERSON	O

		

RT	O	O

@KyaUkhaadLega	O	O

:	O	O

Vira	B-PERSON	O

Kohli	I-PERSON	O

with	O	O

Suresh	B-PERSON	B-PLACE

Raina	I-PERSON	I-PLACE

,	O	O

Shikhar	B-PERSON	O

Dhawan	I-PERSON	O

and	O	O

Rohit	B-PERSON	O

Sharma	I-PERSON	O

...	O	O

https://t.co/UTVtGLaPZG	O	O

		

@ZeeNewsHindi	O	O

ask	O	O

rahul	B-PERSON	O

gandhi	I-PERSON	O

who	O	O

made	O	O

him	O	O

Rajya	B-ORGANISATION	O

sabha	I-ORGANISATION	O

member	O	O

and	O	O

why	O	O

what	O	O

he	O	O

offered	O	O

to	O	O

party	O	O

?	O	O

		

Prabhu	B-PERSON	O

promises	O	O

to	O	O

raise	O	O

Indian	B-ORGANISATION	O

Railways	I-ORGANISATION	O

to	O	O

global	O	O

standards	O	O

http://t.co/0uJBn0pJaS	O	O

#RailBudget2015	O	O

#RailwayBudget	O	O

#railway	O	O

		

feliz	O	O

Maha	O	B-PERSON

Shivratri	O	I-PERSON

!!!!	O	O

""""	O	O

@akhopekar	O	O

:	O	O

MAHASHIVRATRI	O	O

UTSAV	O	O

2015	O	O

..	O	O

BY	O	O

ASHFAQUE	B-PERSON	O

KHOPEKAR	I-PERSON	O

:	O	O

http://t.co/YSMU6t14yA	O	O

via	O	O

YouTube	B-ORGANISATION	O

		

RT	O	O

@bint_e_waseem	O	O

:	O	O

Gayle	B-PERSON	O

nachne	O	O

se	O	O

fursat	O	O

miley	O	O

tou	O	O

khele	O	O

kuch	O	O

!	O	O

		

RT	O	O

@Babu_Bhaiyaa	O	O

:	O	O

Opposition's	O	O

issues	O	O

before	O	O

2014	O	O

2G	O	O

CWG	O	O

Coalgate	O	O

Adarsh	O	O

Now	O	O

:	O	O

Modi's	B-PERSON	O

suit	O	O

Modi's	B-PERSON	O

shawl	O	O

Modi's	B-PERSON	O

degree	O	O

Modi's	B-PERSON	O

marriage	O	O

Modi	B-PERSON	O

'	O	O

		

@Annu__k	O	O

text	O	O

karo	O	O

phr	O	O

dekhtay	O	O

hain	O	O

		

RT	O	O

@nickhunterr	O	O

:	O	O

In	O	O

Early	O	O

days	O	O

when	O	O

a	O	O

new	O	O

baby	O	O

born	O	O

:	O	O

Mom	O	O

to	O	O

son-	O	O

Ye	O	O

exact	O	O

teri	O	O

hi	O	O

Carbon	O	O

Copy	O	O

hai	O	O

.	O	O

Now	O	O

a	O	O

days	O	O

:	O	O

Mom	O	O

to	O	O

son-	O	O

Ye	O	O

exact	O	O

tera	O	O

h	O	O

		

@c_aashish	O	O

PM	O	O

material	O	O

ho	O	O

aap	O	O

fir	O	O

to	O	O

:p	O	O

		

RT	O	O

@Raja_Sw	O	O

:	O	O

Haha	O	O

.	O	O

Good	O	O

sense	O	O

of	O	O

humour	O	O

.	O	O

""""	O	O

He	O	O

Prabhu	B-PERSON	O

,	O	O

ye	O	O

kaisa	O	O

hoga	O	O

?	O	O

""""	O	O

Good	O	O

one	O	O

,	O	O

Sir	O	O

.	O	O

#RailBudget2015	O	O

		

@NotSoSweetGirl_	O	O

Matlab	O	O

KP	B-PLACE	O

me	O	O

garmi	O	O

hoti	O	O

thi	O	O

?	O	O

		

@JhaSanjay	O	O

@OfficeOfRG	O	O

@INCIndia	O	O

@nsui	O	O

@IYC	O	O

Aap	O	O

ko	O	O

nahi	O	O

bulaya	O	O

tha	O	O

es	O	O

#function	O	O

me	O	O

?	O	O

		

@Gurmeetramrahim	O	O

Congratulations	O	O

You	O	O

too	O	O

guru	O	O

ji	O	O

#MSGdedicatesAwardToAllFans	O	O

		

MahaShivratri	O	O

celbrations	O	O

at	O	O

Shankara	B-PLACE	B-ORGANISATION

Mutt	I-PLACE	I-ORGANISATION

Dlhi-Rudra	O	I-ORGANISATION

Homma-Lord	O	I-ORGANISATION

Chandramoulishwara-1st	O	I-ORGANISATION

Jama	O	I-ORGANISATION

Pooja	B-PERSON	I-ORGANISATION

&	O	O

DeviSharadambika	O	B-PERSON

http://t.co/Uxo8KMUJNi	O	O

		

RT	O	O

@AmritanshuGupta	O	O

:	O	O

Wow	O	O

!	O	O

Great	O	O

to	O	O

see	O	O

@JontyRhodes8	O	O

valuing	O	O

Indian	O	O

customs	O	O

doing	O	O

Puja	O	O

at	O	O

Pejawar	B-PLACE	B-PERSON

Matt	I-PLACE	I-PERSON

,	O	O

Santacruz	B-PLACE	O

in	O	O

traditional	O	O

attire	O	O

.	O	O

ht	O	O

		

@Gurmeetramrahim	O	O

ohhhh	O	O

superb	O	O

papa	O	O

ji	O	O

#MSGmissionHumanity	O	O

		

@jecrcharish	O	O

haha	O	O

tune	O	O

yaha	O	O

pe	O	O

ni	O	O

likha	O	O

...	O	O

		

RT	O	O

@PakistanArmy4u	O	O

:	O	O

3IEDs	O	O

at	O	O

different	O	O

locations	O	O

(	O	O

Hamza	B-PLACE	O

Goth	I-PLACE	O

,	O	O

Khanu	B-PLACE	O

Qila	I-PLACE	O

Sadar	B-PLACE	O

Din	I-PLACE	O

Goth	I-PLACE	O

)	O	O

of	O	O

Sui	O	O

successfully	O	O

diffused	O	O

#PakArmy	O	O

#Pakistan	O	O

ht	O	O

		

@HashSidhu	O	O

fakri	B-PERSON	O

ki	O	O

lips	O	O

>	O	O

		

Hardik	B-PERSON	O

Pandya	I-PERSON	O

is	O	O

Joginder	B-PERSON	B-PERSON

Sharma	I-PERSON	I-PERSON

2.0	O	O

.	O	O

#IndvsBan	O	O

#WT20	O	O

		

RT	O	O

@drshraddha16	O	O

:	O	O

@RituRathaur	O	O

@kanhaiyajnusu	O	O

@sagarikaghose	O	O

@BDUTT	O	O

@sardesairajdeep	O	O

3000	O	O

salary	O	O

hai	O	O

na	O	O

tere	O	O

baap	O	O

ki	O	O

,	O	O

to	O	O

kuch	O	O

kaam	O	O

dham	O	O

kar	O	O

..	O	O

		

India	B-PLACE	O

waly	O	O

bhi	O	O

thek	O	O

hai	O	O

..	O	O

Shuru	O	O

main	O	O

bachn	O	O

ko	O	O

khilaty	O	O

hain	O	O

taa	O	O

k	O	O

agli	O	O

team	O	O

kush	O	O

ho	O	O

jay	O	O

usk	O	O

bd	O	O

papa	O	O

kohli	B-PERSON	O

ko	O	O

bhej	O	O

k	O	O

rape	O	O

krty	O	O

hain	O	O

#IndvsPak	O	O

		

#GLvsDD	O	O

#Gujaratlions	O	O

#DelhiDaredevils	O	O

#IPLT20	O	O

@TheGujaratLions	O	O

congratulations	O	O

Gujarat	B-PLACE	O

win	O	O

by	O	O

1	O	O

Run	O	O

		

Tujhe	O	O

Sab	O	O

Hain	O	O

Pata	O	O

,	O	O

Hain	O	O

Na	O	O

Maa	O	O

?	O	O

RT	O	O

@TimesNow	O	O

""""	O	O

I	O	O

have	O	O

no	O	O

comments	O	O

on	O	O

Rahul	B-PERSON	O

""""	O	O

,	O	O

says	O	O

Sonia	B-PERSON	O

Gandhi	I-PERSON	O

.	O	O

#WhereIsRahul	O	O

.	O	O

		

RT	O	O

@BakarchodBaba	O	O

:	O	O

Gabbar	B-PERSON	O

Khush	O	O

Hua	O	O

!!!	O	O

India	B-PLACE	O

wins	O	O

millions	O	O

of	O	O

heart	O	O

.	O	O

#MaukaMauka	O	O

#IndvsSA	O	O

RT	O	O

@TaksunT	O	O

:	O	O

See	O	O

>	O	O

http://t.co/FnAFsuO0r0	O	O

		

Saara	O	O

seher	O	O

mujhe	O	O

PAPPU	B-PERSON	O

k	O	O

naam	O	O

se	O	O

janta	O	O

hai	O	O

.	O	O

#whereisrahul	O	O

#rahulonleave	O	O

#twistedbollywoddialogues	O	O

		

@sureshpprabhu	O	O

Prabhu	B-PERSON	O

live	O	O

:	O	O

More	O	O

coaches	O	O

,	O	O

more	O	O

berths	O	O

,	O	O

no	O	O

fare	O	O

hike	O	O

#RailBudget2015	O	O

http://t.co/0D3uitk8Gw	O	O

		

@OyeMaria	O	O

Hey	O	O

bhagwan	O	O

...	O	O

aaj	O	O

#MahaShivratri	O	O

hai	O	O

...	O	O

aisi	O	O

baatein	O	O

naa	O	O

karein	O	O

plz	O	O

...	O	O

im	O	O

a	O	O

brahmachari	O	O

like	O	O

modi	B-PERSON	O

ji	O	O

:p	O	O

		

Vadra	B-PERSON	O

:	O	O

Kya	O	O

ye	O	O

sach	O	O

hai	O	O

modi	B-PERSON	O

ji	O	O

?	O	O

Modi	B-PERSON	O

:	O	O

kya	O	O

??	O	O

Vadra	B-PERSON	B-PERSON

:	O	O

#LandAcquisitionBill	O	O

?	O	O

Modi	B-PERSON	O

:	O	O

haan	O	O

..	O	O

but	O	O

puch	O	O

kyon	O	O

raha	O	O

hai	O	O

?	O	O

Vadra	B-PERSON	B-PERSON

:	O	O

Nothing	O	O

,	O	O

I	O	O

Love	O	O

u	O	O

:')	O	O

		

https://t.co/XRCWnRKn4v	O	O

#Sarrainodu	O	O

movie	O	O

review	O	O

***	O	O

stars	O	O

@alluarjun	O	O

shines	O	O

beefed	O	O

look	O	O

sadly	O	O

@AadhiOfficial	O	O

s	O	O

villain	O	O

looks	O	O

like	O	O

mosquito	O	O

		

@mynamerahul007	O	O

tu	O	O

kaminey	O	O

...	O	O

Aanaa	O	O

Gulbarga	B-PLACE	O

...	O	O

Party	O	O

de	O	O

na	O	O

...!!	O	O

Me	O	O

wait	O	O

karri	O	O

naa	O	O

		

RT	O	O

@TarkeebiMe	O	O

:	O	O

Darkness	O	O

is	O	O

pure	O	O

.	O	O

It	O	O

hides	O	O

every	O	O

sin	O	O

.	O	O

		

There	O	O

are	O	O

many	O	O

holding	O	O

back	O	O

their	O	O

Tweet	O	O

related	O	O

to	O	O

Anushka	B-PERSON	O

Sharma	I-PERSON	O

just	O	O

coz	O	O

of	O	O

Kohli's	B-PERSON	O

'	O	O

Shame	O	O

'	O	O

Tweet	O	O

.	O	O

#DDvsRCB	O	O

#RCBvDD	O	O

		

RT	O	O

@PMOIndia	O	O

:	O	O

Swachh	O	O

Bharat	B-PLACE	O

Mission	O	O

gets	O	O

a	O	O

boost	O	O

.	O	O

#SaalEkShuruaatAnek	O	O

#MyCleanIndia	O	O

http://t.co/hVtBkrUVDe	O	O

		

RT	O	O

@Atheist_Krishna	O	O

:	O	O

Mallya	B-PERSON	O

chala	O	O

gaya	O	O

RCB	B-ORGANISATION	O

chhod	O	O

gaya	O	O

~	O	O

Rest	O	O

of	O	O

the	O	O

IPL	B-ORGANISATION	B-ORGANISATION

team	O	O

owners	O	O

		

#kiskidilli	O	O

#aapkidilli	O	O

Feku	O	O

half	O	O

..	O	O

Pappu	B-PERSON	O

Saaf	O	O

..	O	O

AAP	B-ORGANISATION	O

sabka	O	O

BAAP	O	O

:)	O	O

		

MerryXmas	O	O

From	O	O

TeamShivaay	O	O

chalao	O	O

na	O	O

naino	O	O

se	O	O

ban	O	O

re	O	O

		

RT	O	O

@pksrivastava6	O	O

:	O	O

Trupti	B-PERSON	O

Desais	I-PERSON	O

Anti-Hindu	O	O

Agenda	O	O

Exposed	O	O

by	O	O

@DrGPradhan	O	O

https://t.co/sgtIQkRjrt	O	O

via	O	O

@satyavijayi	O	O

		

@PadmajaJoshi	O	O

@Bawli_Booch	O	O

satkeli	O	O

hai	O	O

madam	O	O

after	O	O

delhi	B-PLACE	O

elections	O	O

.....	O	O

Modiji	B-PERSON	O

has	O	O

asked	O	O

her	O	O

to	O	O

on	O	O

morning	O	O

walk	O	O

daily	O	O

and	O	O

watch	O	O

pigeons	O	O

		

OM	O	O

NAMAH	O	O

SHIVAYA	O	O

Happy	O	O

#MahaShivratri	O	O

		

Aakaash	B-PERSON	O

:	O	O

Oh	O	O

Boy	O	O

,	O	O

Jason	B-PERSON	O

Roy	I-PERSON	O

...	O	O

Jason	B-PERSON	O

Roy	I-PERSON	O

:	O	O

Aakaah	B-PERSON	O

ChupRe	O	O

..	O	O

#ENGvNZ	O	O

		

FM	O	O

:	O	O

Individual	O	O

tax	O	O

payer	O	O

to	O	O

get	O	O

benefitted	O	O

up	O	O

to	O	O

Rs	O	O

4	O	O

Lac	O	O

#Budget2015	O	O

#Moneypalm	O	O

#UnionBudget2015	O	O

#SuperBudget	O	O

		

#RailBudget2015	O	O

:	O	O

""""	O	O

Hey	O	O

Prabhu	B-PERSON	O

,	O	O

Ye	O	O

Kaise	O	O

Hoga	O	O

?	O	O

""""	O	O

@sureshpprabhu	O	O

sets	O	O

an	O	O

ambitious	O	O

task	O	O

ahead	O	O

:	O	O

http://t.co/QNt4tLI18H	O	O

		

RT	O	O

@Muzammil_Says	O	O

:	O	O

Behka	O	O

toh	O	O

bohat	O	O

behka	O	O

,	O	O

sambhla	O	O

toh	O	O

wali	O	O

tehra	O	O

Is	O	O

khaak	O	O

k	O	O

putly	O	O

ka	O	O

,	O	O

har	O	O

rung	O	O

nirala	O	O

hai	O	O

		

RT	O	O

balram_insan	O	O

:	O	O

RT	O	O

InsanDua	O	O

:	O	O

Gurmeetramrahim	B-PERSON	B-PERSON

#MustWatchMSG	O	O

PAPA	O	O

THE	O	O

GREAT	O	O

MERE	O	O

PAPA	O	O

THE	O	O

GREAT	O	O

......	O	O

LOVE	O	O

U	O	O

SO	O	O

MUCH	O	O

http://t.co/vjLFW1cgyQ	O	O

		

RT	O	O

@kchowdhury9	O	O

:	O	O

#boycottraees	O	O

boycott	O	O

badly	O	O

#raees	O	O

		

Kya	O	O

number	O	O

hai	O	O

bike	O	O

ka	O	O

....	O	O

new	O	O

vehicle	O	O

registration	O	O

style	O	O

of	O	O

policewalas	O	O

https://t.co/dcFA2Hl3a6	O	O

		

New	O	O

age	O	O

deewar	O	O

""""	O	O

Aaj	O	O

mere	O	O

pass	O	O

beef	O	O

hain	O	O

,	O	O

daaru	O	O

hain	O	O

,	O	O

porn	O	O

hain	O	O

,	O	O

tumhaare	O	O

pass	O	O

kya	O	O

hain	O	O

,	O	O

kya	O	O

hain	O	O

tumhaare	O	O

pass	O	O

""""	O	O

http://t.co/KEiuKskrEx	O	O

		

RT	O	O

@J0shuaPr0ject	O	O

:	O	O

I	O	O

liked	O	O

a	O	O

@YouTube	O	O

video	O	O

http://t.co/oL7CjGOWKn	O	O

Asaram	B-PERSON	O

Bapu	I-PERSON	O

ji	O	O

-	O	O

Jai	O	O

Shiv	B-PERSON	O

Omkaara	O	O

Aarti	O	O

-	O	O

MahaShivratri	O	B-PERSON

Mahotsav	O	I-PERSON

(	O	O

1/8	O	O

)	O	O

		

@PoojaMissra	O	O

Naacho	O	O

BC	O	O

pathakhe	O	O

to	O	O

#India	O	O

me	O	O

hi	O	O

foodenge	O	O

,,,,,	O	O

#IndvsSA	O	O

#Indiawins	O	O

#JaiHind	O	O

http://t.co/ubPzr5GLJF	O	O

		

#IndvsPak	O	O

Jeet	O	O

se	O	O

sab	O	O

itne	O	O

khush	O	O

h	O	O

ki	O	O

kisi	O	O

ne	O	O

badte	O	O

petrol	O	O

ki	O	O

taraf	O	O

dhyan	O	O

hi	O	O

nahi	O	O

diya	O	O

,	O	O

modi	B-PERSON	O

khush	O	O

hua	O	O

		

RT	O	O

@helloanand	O	O

:	O	O

Brilliant	O	O

answer	O	O

by	O	O

Dhoni	B-PERSON	O

when	O	O

a	O	O

media	O	O

guy	O	O

asked	O	O

about	O	O

his	O	O

retirement	O	O

-	O	O

https://t.co/irgS0ieIex	O	O

		

https://t.co/CaVjj23fZd	O	O

#MSGsocialWelfare	O	O

Well	O	O

done	O	O

Shah	B-PERSON	B-PERSON

Satnam	I-PERSON	I-PERSON

ji	O	O

Force	O	O

		

@BSNLCorporate	O	O

@rsprasad	O	O

Thanks	O	O

for	O	O

reply	O	O

.	O	O

Pankaj	B-PERSON	B-PERSON

Chauhan	I-PERSON	I-PERSON

,	O	O

M	O	O

-	O	O

8527745669/01242570669	O	O

,	O	O

Address	O	O

-	O	O

C2	O	O

Taradeep	B-PLACE	O

Apartments	I-PLACE	O

,	O	O

Gurgaon	B-PLACE	O

Sec	O	O

-52	O	O

		

@ArvindKejriwal	O	O

CBI	B-ORGANISATION	O

aur	O	O

ACB	B-ORGANISATION	O

band	O	O

karo	O	O

bas	O	O

aapiye	O	O

chalu	O	O

rakho	O	O

..	O	O

Yeh	O	O

certificate	O	O

ke	O	O

thok	O	O

vikreta	O	O

hai	O	O

.	O	O

		

@NeelakshiGswm	O	O

more	O	O

bike	O	O

stunts	O	O

on	O	O

India	B-PLACE	O

gate	I-PLACE	O

by	O	O

Muslim	O	O

boys	O	O

,	O	O

more	O	O

Hindu	O	O

girls	O	O

got	O	O

beaten	O	O

by	O	O

#AAPtards	O	O

as	O	O

@NupurSharmaBJP	O	O

,	O	O

shame	O	O

on	O	O

delhi	B-PLACE	O

		

Jaa	O	O

mar	O	O

ja	O	O

kamine	O	O

Maine	O	O

kaha	O	O

tha	O	O

dhawan	B-PERSON	O

se	O	O

muze	O	O

umeed	O	O

nai	O	O

kam	O	O

se	O	O

kam	O	O

100	O	O

to	O	O

banata	O	O

but	O	O

koi	O	O

na	O	O

ye	O	O

bhi	O	O

thik	O	O

h	O	O

#IndvsPak	O	O

		

@timesnow	O	O

its	O	O

time	O	O

for	O	O

modi	B-PERSON	O

its	O	O

time	O	O

for	O	O

a	O	O

rising	O	O

india	B-PLACE	O

.	O	O

billion	O	O

spent	O	O

upgrading	O	O

Raiwind	B-PLACE	O

estate	O	O

,	O	O

...	O	O

https://t.co/9038tgHv9U	O	O

#etribune	O	O

		

entertainment	O	O

hamesha	O	O

entertainment	O	O

tak	O	O

rahy	O	O

go	O	O

theek	O	O

rahy	O	O

ga	O	O

..	O	O

movie	O	O

k	O	O

bahnai	O	O

nafrat	O	O

bantne	O	O

sy	O	O

fyda	O	O

nae	O	O

hoga	O	O

@kabirkhankk	O	O

#banphantom	O	O

		

@love_oindrila	O	O

Happy	O	O

MahaShivratri	O	O

too	O	O

u	O	O

di	O	O

.	O	O

Ankurgee	B-PERSON	O

:	O	O

#RailBudget2015	O	O

:	O	O

#Visionary	O	O

#Realistic	O	O

#Positive	O	O

#Practical	O	O

#Progressive	O	O

#Inclusive	O	O

Thank	O	O

You	O	O

sureshpprabhu	B-PERSON	O

RailMinIndia	B-ORGANISATION	B-PERSON

PMOIndia	B-ORGANISATION	I-PERSON

		

RT	O	O

@ANILINSANRAJPUT	O	O

:	O	O

@Gurmeetramrahim	O	O

mehr	O	O

krna	O	O

papa	O	O

ji	O	O

		

RaGa	B-PERSON	O

~	O	O

Muma	O	O

1	O	O

baat	O	O

kahu	O	O

?	O	O

SoGa	B-PERSON	O

~	O	O

Bol	O	O

!	O	O

R	O	O

~	O	O

Agar	O	O

Papa	O	O

Anderson	B-PERSON	O

ko	O	O

Desh	O	O

se	O	O

Bhagane	O	O

ki	O	O

Madad	O	O

na	O	O

karte	O	O

